source,epoch,run,time(ms),error_value
python,10000,0,34,-0.09655129962783
python,10000,1,34,-0.09655129962783
python,10000,2,36,-0.09655129962783
python,10000,3,34,-0.09655129962783
python,10000,4,39,-0.09655129962783
python,10000,5,50,-0.09655129962783
python,10000,6,33,-0.09655129962783
python,10000,7,33,-0.09655129962783
python,10000,8,33,-0.09655129962783
python,10000,9,32,-0.09655129962783
python,10000,10,32,-0.09655129962783
python,10000,11,32,-0.09655129962783
python,10000,12,32,-0.09655129962783
python,10000,13,32,-0.09655129962783
python,10000,14,32,-0.09655129962783
python,10000,15,32,-0.09655129962783
python,10000,16,32,-0.09655129962783
python,10000,17,32,-0.09655129962783
python,10000,18,32,-0.09655129962783
python,10000,19,32,-0.09655129962783
python,20000,0,65,-0.011802630007138
python,20000,1,67,-0.011802630007138
python,20000,2,66,-0.011802630007138
python,20000,3,66,-0.011802630007138
python,20000,4,66,-0.011802630007138
python,20000,5,66,-0.011802630007138
python,20000,6,67,-0.011802630007138
python,20000,7,67,-0.011802630007138
python,20000,8,68,-0.011802630007138
python,20000,9,66,-0.011802630007138
python,20000,10,66,-0.011802630007138
python,20000,11,66,-0.011802630007138
python,20000,12,66,-0.011802630007138
python,20000,13,66,-0.011802630007138
python,20000,14,68,-0.011802630007138
python,20000,15,68,-0.011802630007138
python,20000,16,73,-0.011802630007138
python,20000,17,67,-0.011802630007138
python,20000,18,67,-0.011802630007138
python,20000,19,67,-0.011802630007138
python,40000,0,135,-0.000176368138385
python,40000,1,136,-0.000176368138385
python,40000,2,135,-0.000176368138385
python,40000,3,132,-0.000176368138385
python,40000,4,131,-0.000176368138385
python,40000,5,131,-0.000176368138385
python,40000,6,131,-0.000176368138385
python,40000,7,131,-0.000176368138385
python,40000,8,131,-0.000176368138385
python,40000,9,132,-0.000176368138385
python,40000,10,132,-0.000176368138385
python,40000,11,133,-0.000176368138385
python,40000,12,132,-0.000176368138385
python,40000,13,132,-0.000176368138385
python,40000,14,131,-0.000176368138385
python,40000,15,131,-0.000176368138385
python,40000,16,130,-0.000176368138385
python,40000,17,131,-0.000176368138385
python,40000,18,131,-0.000176368138385
python,40000,19,133,-0.000176368138385
python,80000,0,271,-3.93824581834679E-08
python,80000,1,271,-3.93824581834679E-08
python,80000,2,271,-3.93824581834679E-08
python,80000,3,266,-3.93824581834679E-08
python,80000,4,263,-3.93824581834679E-08
python,80000,5,263,-3.93824581834679E-08
python,80000,6,265,-3.93824581834679E-08
python,80000,7,263,-3.93824581834679E-08
python,80000,8,270,-3.93824581834679E-08
python,80000,9,274,-3.93824581834679E-08
python,80000,10,271,-3.93824581834679E-08
python,80000,11,267,-3.93824581834679E-08
python,80000,12,265,-3.93824581834679E-08
python,80000,13,270,-3.93824581834679E-08
python,80000,14,271,-3.93824581834679E-08
python,80000,15,271,-3.93824581834679E-08
python,80000,16,271,-3.93824581834679E-08
python,80000,17,273,-3.93824581834679E-08
python,80000,18,265,-3.93824581834679E-08
python,80000,19,267,-3.93824581834679E-08
C++,10000,0,1,-0.0965513
C++,10000,1,1,-0.0965513
C++,10000,2,1,-0.0965513
C++,10000,3,1,-0.0965513
C++,10000,4,1,-0.0965513
C++,10000,5,1,-0.0965513
C++,10000,6,1,-0.0965513
C++,10000,7,1,-0.0965513
C++,10000,8,3,-0.0965513
C++,10000,9,4,-0.0965513
C++,10000,10,4,-0.0965513
C++,10000,11,4,-0.0965513
C++,10000,12,4,-0.0965513
C++,10000,13,3,-0.0965513
C++,10000,14,2,-0.0965513
C++,10000,15,2,-0.0965513
C++,10000,16,2,-0.0965513
C++,10000,17,2,-0.0965513
C++,10000,18,2,-0.0965513
C++,10000,19,1,-0.0965513
C++,20000,0,3,-0.0118026
C++,20000,1,2,-0.0118026
C++,20000,2,2,-0.0118026
C++,20000,3,2,-0.0118026
C++,20000,4,2,-0.0118026
C++,20000,5,2,-0.0118026
C++,20000,6,2,-0.0118026
C++,20000,7,2,-0.0118026
C++,20000,8,2,-0.0118026
C++,20000,9,2,-0.0118026
C++,20000,10,2,-0.0118026
C++,20000,11,2,-0.0118026
C++,20000,12,2,-0.0118026
C++,20000,13,2,-0.0118026
C++,20000,14,2,-0.0118026
C++,20000,15,2,-0.0118026
C++,20000,16,2,-0.0118026
C++,20000,17,5,-0.0118026
C++,20000,18,4,-0.0118026
C++,20000,19,4,-0.0118026
C++,40000,0,5,-0.000176368
C++,40000,1,4,-0.000176368
C++,40000,2,4,-0.000176368
C++,40000,3,4,-0.000176368
C++,40000,4,4,-0.000176368
C++,40000,5,5,-0.000176368
C++,40000,6,4,-0.000176368
C++,40000,7,4,-0.000176368
C++,40000,8,4,-0.000176368
C++,40000,9,4,-0.000176368
C++,40000,10,4,-0.000176368
C++,40000,11,4,-0.000176368
C++,40000,12,4,-0.000176368
C++,40000,13,4,-0.000176368
C++,40000,14,4,-0.000176368
C++,40000,15,5,-0.000176368
C++,40000,16,4,-0.000176368
C++,40000,17,4,-0.000176368
C++,40000,18,4,-0.000176368
C++,40000,19,4,-0.000176368
C++,80000,0,9,-3.93825E-08
C++,80000,1,9,-3.93825E-08
C++,80000,2,9,-3.93825E-08
C++,80000,3,9,-3.93825E-08
C++,80000,4,9,-3.93825E-08
C++,80000,5,9,-3.93825E-08
C++,80000,6,9,-3.93825E-08
C++,80000,7,9,-3.93825E-08
C++,80000,8,9,-3.93825E-08
C++,80000,9,9,-3.93825E-08
C++,80000,10,9,-3.93825E-08
C++,80000,11,9,-3.93825E-08
C++,80000,12,9,-3.93825E-08
C++,80000,13,9,-3.93825E-08
C++,80000,14,9,-3.93825E-08
C++,80000,15,8,-3.93825E-08
C++,80000,16,8,-3.93825E-08
C++,80000,17,8,-3.93825E-08
C++,80000,18,9,-3.93825E-08
C++,80000,19,8,-3.93825E-08
