source,epoch,run,time(ms),error_value
C++,10000,0,2,-0.0965513
C++,10000,1,1,-0.0965513
C++,10000,2,1,-0.0965513
C++,10000,3,2,-0.0965513
C++,10000,4,1,-0.0965513
C++,10000,5,1,-0.0965513
C++,10000,6,1,-0.0965513
C++,10000,7,1,-0.0965513
C++,10000,8,1,-0.0965513
C++,10000,9,1,-0.0965513
C++,10000,10,1,-0.0965513
C++,10000,11,1,-0.0965513
C++,10000,12,1,-0.0965513
C++,10000,13,1,-0.0965513
C++,10000,14,1,-0.0965513
C++,10000,15,1,-0.0965513
C++,10000,16,1,-0.0965513
C++,10000,17,1,-0.0965513
C++,10000,18,1,-0.0965513
C++,10000,19,1,-0.0965513
C++,20000,0,3,-0.0118026
C++,20000,1,3,-0.0118026
C++,20000,2,3,-0.0118026
C++,20000,3,3,-0.0118026
C++,20000,4,3,-0.0118026
C++,20000,5,3,-0.0118026
C++,20000,6,3,-0.0118026
C++,20000,7,3,-0.0118026
C++,20000,8,3,-0.0118026
C++,20000,9,3,-0.0118026
C++,20000,10,3,-0.0118026
C++,20000,11,3,-0.0118026
C++,20000,12,3,-0.0118026
C++,20000,13,4,-0.0118026
C++,20000,14,3,-0.0118026
C++,20000,15,3,-0.0118026
C++,20000,16,3,-0.0118026
C++,20000,17,3,-0.0118026
C++,20000,18,3,-0.0118026
C++,20000,19,3,-0.0118026
C++,40000,0,6,-0.000176368
C++,40000,1,6,-0.000176368
C++,40000,2,6,-0.000176368
C++,40000,3,7,-0.000176368
C++,40000,4,6,-0.000176368
C++,40000,5,6,-0.000176368
C++,40000,6,6,-0.000176368
C++,40000,7,6,-0.000176368
C++,40000,8,5,-0.000176368
C++,40000,9,5,-0.000176368
C++,40000,10,5,-0.000176368
C++,40000,11,6,-0.000176368
C++,40000,12,5,-0.000176368
C++,40000,13,5,-0.000176368
C++,40000,14,6,-0.000176368
C++,40000,15,4,-0.000176368
C++,40000,16,4,-0.000176368
C++,40000,17,5,-0.000176368
C++,40000,18,4,-0.000176368
C++,40000,19,4,-0.000176368
C++,80000,0,9,-3.93825e-08
C++,80000,1,9,-3.93825e-08
C++,80000,2,9,-3.93825e-08
C++,80000,3,9,-3.93825e-08
C++,80000,4,9,-3.93825e-08
C++,80000,5,9,-3.93825e-08
C++,80000,6,9,-3.93825e-08
C++,80000,7,9,-3.93825e-08
C++,80000,8,9,-3.93825e-08
C++,80000,9,9,-3.93825e-08
C++,80000,10,8,-3.93825e-08
C++,80000,11,8,-3.93825e-08
C++,80000,12,8,-3.93825e-08
C++,80000,13,8,-3.93825e-08
C++,80000,14,8,-3.93825e-08
C++,80000,15,8,-3.93825e-08
C++,80000,16,8,-3.93825e-08
C++,80000,17,8,-3.93825e-08
C++,80000,18,8,-3.93825e-08
C++,80000,19,8,-3.93825e-08
